Statistic Measure	Naive Bayes	Random Forest	SVM	KNN
Accuracy	0.9419517586466067	0.9905599725063281	0.9136633249308064	0.928997715990864
Precision	0.9382983688873914	0.9907596372794369	0.9291579156899981	0.9319541447776731
Recall	0.9368799520842609	0.9897088481378358	0.8837701673022331	0.9171042409198156
F-Measure	0.9373542768873324	0.9901613923041349	0.8946278685645661	0.9219736950026733
AUC	0.9949578234833627	0.9982884247636481	0.99518942640978403	0.9927912767639879
